employee_id;absence_days;sick_days;vacation_days_taken;bank_hours;overtime_hours;tardiness_count;performance_rating;bonus_percentage;tenure_years;probation_completed;last_promotion_date;last_training_date;compliance_status
emp_00130;4;1;18;-45,0;74,0;6;4;10,41;6,29;True;;2024-04-10;compliant
emp_00131;4;4;15;-97,0;93,0;5;5;11,4;8,02;True;;;compliant
emp_00132;2;0;11;-2,0;58,0;2;5;13,16;5,08;True;2024-01-25;;compliant
emp_00133;6;1;19;178,0;55,0;6;2;8,57;4,06;True;;2025-01-07;compliant
emp_00134;0;7;14;114,0;32,0;9;5;6,42;12,28;True;2016-05-25;;compliant
emp_00135;1;4;15;-17,0;28,0;7;4;9,74;10,5;True;;2025-06-27;compliant
emp_00136;4;4;18;-44,0;61,0;7;1;10,78;1,59;True;2025-03-13;2023-08-02;compliant
emp_00137;1;2;11;71,0;97,0;5;1;3,76;12,99;True;2014-09-23;2024-02-20;compliant
emp_00138;1;4;12;4,0;51,0;2;3;5,93;7,16;True;;2023-09-09;compliant
emp_00139;1;1;12;-6,0;49,0;6;2;20,95;14,2;True;;2024-07-24;compliant
emp_00140;2;3;17;-37,0;22,0;4;1;10,14;5,22;True;2023-07-13;2024-05-23;compliant
emp_00141;4;5;18;179,0;39,0;5;5;17,8;14,6;True;;2023-11-11;compliant
emp_00142;3;2;14;-32,0;63,0;6;4;11,77;14,55;True;;;compliant
emp_00143;1;5;17;-46,0;38,0;11;1;12,69;14,22;True;2016-07-29;2023-09-10;compliant
emp_00144;3;0;15;157,0;45,0;3;3;8,35;10,71;True;2020-10-28;;compliant
emp_00145;2;3;12;-49,0;84,0;6;3;0,0;13,62;True;2016-12-29;2024-05-26;compliant
emp_00146;0;3;14;48,0;22,0;3;5;6,79;3,82;True;2024-01-28;2023-10-16;compliant
emp_00147;3;2;12;60,0;96,0;2;4;0,0;10,79;True;;2025-05-14;non-compliant
emp_00148;2;1;17;158,0;76,0;4;4;6,54;10,64;True;2024-12-04;2023-12-18;compliant
emp_00149;1;0;22;-66,0;100,0;5;4;17,66;6,58;True;;;compliant
emp_00150;2;6;24;-86,0;97,0;4;2;14,61;11,72;True;;2024-08-04;compliant
emp_00151;2;1;13;-22,0;68,0;5;4;4,58;0,6;True;;;compliant
emp_00152;2;4;11;193,0;52,0;7;1;7,74;14,81;True;;2023-12-22;compliant
emp_00153;3;3;14;-10,0;41,0;6;2;4,52;3,84;True;;2023-07-31;compliant
emp_00154;1;3;9;-13,0;27,0;3;2;17,06;1,97;True;;2023-09-19;compliant
emp_00155;1;0;14;-97,0;93,0;8;1;13,36;15,43;True;;2025-03-08;compliant
emp_00156;1;2;18;113,0;6,0;8;5;8,5;8,33;True;;;compliant
emp_00157;3;1;18;119,0;82,0;6;2;3,87;8,92;True;2023-01-10;;compliant
emp_00158;3;5;21;164,0;66,0;6;1;12,93;12,8;True;2022-09-11;2023-07-22;compliant
emp_00159;2;1;11;-50,0;86,0;5;2;10,47;11,08;True;;;compliant
emp_00160;3;2;15;-31,0;2,0;6;2;10,88;5,82;True;2020-09-08;2025-04-16;compliant
emp_00161;4;1;13;46,0;22,0;5;2;16,86;12,28;True;;;compliant
emp_00162;0;5;12;50,0;54,0;5;3;5,77;7,98;True;2023-08-15;2024-08-13;compliant
emp_00163;2;3;16;16,0;62,0;6;1;9,53;13,6;True;2025-05-14;2024-05-26;compliant
emp_00164;2;2;11;73,0;77,0;6;5;16,02;3,39;True;;;compliant
emp_00165;0;4;8;193,0;28,0;4;4;8,59;6,25;True;2021-04-22;;non-compliant
emp_00166;1;7;17;-30,0;19,0;6;1;8,65;10,7;True;2016-06-17;2024-10-05;compliant
emp_00167;1;4;20;195,0;87,0;5;5;7,77;2,29;True;;;compliant
emp_00168;1;1;21;-100,0;21,0;2;2;12,2;13,71;True;;2023-09-18;compliant
emp_00169;3;3;18;54,0;34,0;5;4;9,91;3,25;True;;2024-04-14;compliant
emp_00170;0;3;18;-70,0;68,0;9;5;4,75;12,02;True;2021-01-12;;compliant
emp_00171;1;4;17;180,0;54,0;7;2;6,13;8,88;True;2023-07-31;2023-08-08;compliant
emp_00172;5;3;19;176,0;13,0;7;2;12,2;4,53;True;2024-10-24;;compliant
emp_00173;1;1;20;-23,0;88,0;11;2;8,15;3,01;True;2024-01-05;;compliant
emp_00174;0;3;12;199,0;88,0;5;4;13,39;12,7;True;2015-04-30;2025-01-27;compliant
emp_00175;1;2;7;71,0;53,0;5;5;10,75;8,42;True;;;compliant
emp_00176;1;7;20;-71,0;64,0;4;3;13,67;10,76;True;2017-01-31;2023-07-18;compliant
emp_00177;0;5;15;-26,0;0,0;4;3;11,6;13,79;True;;;compliant
emp_00178;0;5;17;194,0;22,0;3;4;4,24;8,53;True;;2024-11-08;compliant
emp_00179;0;4;14;-48,0;73,0;2;4;9,64;14,77;True;;2025-04-06;compliant
emp_00180;0;2;8;150,0;52,0;7;3;9,59;4,4;True;2022-07-23;2024-09-16;compliant
emp_00181;1;1;11;-5,0;36,0;1;1;12,7;8,23;True;2024-10-25;2024-07-02;compliant
emp_00182;1;4;16;-84,0;74,0;1;2;11,99;11,58;True;;2024-07-24;compliant
emp_00183;2;4;13;-3,0;35,0;1;1;6,95;15,36;True;2016-12-30;;compliant
emp_00184;0;3;16;66,0;43,0;4;2;7,34;4,83;True;2023-06-05;2024-01-27;compliant
emp_00185;3;4;15;-86,0;65,0;6;5;4,48;5,55;True;2023-03-01;2025-01-21;compliant
emp_00186;1;2;13;-26,0;62,0;5;2;13,61;8,77;True;2024-12-18;2023-09-11;compliant
emp_00187;3;2;21;-81,0;15,0;3;5;10,21;11,69;True;2018-05-11;;compliant
emp_00188;1;3;11;178,0;97,0;4;4;14,93;2,94;True;;2024-05-29;compliant
emp_00189;0;4;11;49,0;37,0;4;1;18,28;9,58;True;;2023-12-10;compliant
emp_00190;3;3;14;52,0;5,0;6;4;0,0;10,59;True;2022-11-16;2023-09-26;compliant
emp_00191;0;4;13;61,0;49,0;9;3;10,78;9,09;True;;2025-03-04;non-compliant
emp_00192;3;6;19;90,0;58,0;3;5;9,06;7,24;True;;2023-07-09;compliant
emp_00193;4;3;10;175,0;68,0;4;3;12,37;14,23;True;2017-01-21;2023-12-07;compliant
emp_00194;2;4;13;-5,0;76,0;7;3;6,98;8,62;True;;2025-05-31;compliant
emp_00195;1;0;17;16,0;3,0;8;4;3,66;3,99;True;2024-06-18;2024-06-17;compliant
emp_00196;1;3;17;160,0;94,0;4;3;7,59;13,96;True;;2025-03-14;compliant
emp_00197;4;1;14;124,0;97,0;5;4;2,22;5,92;True;;;compliant
emp_00198;1;2;10;-8,0;31,0;7;3;3,69;8,85;True;2019-06-04;2024-11-12;compliant
emp_00199;4;2;20;174,0;35,0;2;1;10,1;7,73;True;2024-11-11;2024-03-24;compliant
emp_00200;0;1;18;134,0;26,0;5;1;18,42;0,53;True;;2025-01-05;compliant
emp_00201;0;7;15;-29,0;24,0;5;5;5,22;3,85;True;;2025-03-12;non-compliant
emp_00202;2;2;13;-18,0;75,0;5;3;4,82;8,83;True;;2024-05-26;compliant
emp_00203;2;3;12;-32,0;48,0;4;3;14,44;10,59;True;;2024-05-21;compliant
emp_00204;1;6;17;6,0;16,0;8;5;6,32;7,08;True;2022-10-10;;non-compliant
emp_00205;3;1;17;109,0;23,0;5;5;10,03;4,19;True;;;compliant
emp_00206;4;2;15;171,0;84,0;4;5;11,19;7,34;True;2020-08-30;2025-04-01;compliant
emp_00207;3;3;13;189,0;5,0;6;4;16,14;13,23;True;2015-09-04;2024-04-24;compliant
emp_00208;4;4;13;-6,0;62,0;5;4;16,02;14,73;True;;2024-03-06;compliant
emp_00209;2;9;22;4,0;56,0;7;4;10,17;6,61;True;2023-01-19;;compliant
emp_00210;1;4;14;11,0;64,0;5;5;9,91;5,48;True;;;compliant
emp_00211;2;3;8;25,0;59,0;0;5;11,03;5,57;True;;2025-01-27;compliant
emp_00212;2;3;15;178,0;94,0;4;5;16,74;15,13;True;2017-04-19;2024-07-24;compliant
emp_00213;1;4;11;172,0;64,0;7;5;7,83;3,04;True;;2024-05-18;compliant
emp_00214;5;2;17;166,0;86,0;3;3;1,76;12,08;True;2024-08-09;2025-01-03;compliant
emp_00215;1;5;15;-52,0;64,0;5;5;14,27;8,94;True;;2023-11-15;compliant
emp_00216;2;4;11;-58,0;8,0;11;4;13,25;14,05;True;2021-12-13;2025-05-18;compliant
emp_00217;2;3;15;187,0;99,0;4;4;7,38;10,76;True;;2023-11-12;compliant
emp_00218;5;2;14;5,0;9,0;5;4;6,07;11,85;True;2018-05-25;;compliant
emp_00219;0;3;19;-44,0;73,0;4;3;11,63;5,36;True;;2024-06-07;compliant
emp_00220;4;1;18;-88,0;100,0;4;5;4,85;15,21;True;;2025-04-10;compliant
emp_00221;2;1;14;-27,0;27,0;4;2;9,86;13,53;True;2022-11-20;;compliant
emp_00222;3;2;13;-71,0;75,0;5;1;20,33;14,14;True;;2023-12-08;non-compliant
emp_00223;0;4;18;-25,0;35,0;4;1;11,31;9,74;True;2016-11-13;2025-03-01;compliant
emp_00224;4;5;13;-56,0;89,0;3;3;19,84;12,44;True;2017-05-28;2025-04-12;compliant
emp_00225;3;3;16;-4,0;86,0;3;3;8,05;2,55;True;;;compliant
emp_00226;0;1;13;-81,0;1,0;9;4;7,82;11,35;True;;;compliant
emp_00227;1;1;19;-45,0;9,0;5;2;19,95;9,5;True;;;compliant
emp_00228;1;5;12;24,0;89,0;5;5;4,84;7,75;True;2020-03-06;2023-08-21;compliant
emp_00229;4;1;16;68,0;67,0;3;2;15,9;1,64;True;2025-02-10;;compliant
emp_00230;5;2;11;94,0;24,0;4;1;13,46;5,87;True;;;compliant
emp_00231;5;1;13;31,0;62,0;2;3;7,8;8,86;True;;2023-11-23;compliant
emp_00232;0;3;14;189,0;54,0;4;3;9,39;14,77;True;;2024-02-05;compliant
emp_00233;3;2;21;41,0;6,0;3;1;13,56;14,58;True;;;compliant
emp_00234;1;2;17;13,0;40,0;9;1;6,91;1,4;True;2025-04-07;;non-compliant
emp_00235;1;2;9;122,0;51,0;3;2;10,53;5,03;True;;2023-12-13;compliant
emp_00236;0;6;20;-72,0;15,0;4;4;6,37;1,05;True;2025-06-28;2024-01-28;compliant
emp_00237;2;2;22;-54,0;29,0;5;3;7,28;5,89;True;;2024-10-22;compliant
emp_00238;0;7;14;20,0;73,0;7;4;9,95;5,03;True;2024-12-13;2024-09-30;compliant
emp_00239;2;3;14;127,0;71,0;3;5;13,53;12,24;True;;;compliant
emp_00240;4;3;25;-17,0;24,0;5;5;12,16;3,65;True;;;compliant
emp_00241;4;1;9;-80,0;75,0;3;5;9,38;0,84;True;;;non-compliant
emp_00242;1;4;8;43,0;16,0;8;3;14,3;14,54;True;2015-12-08;;compliant
emp_00243;2;4;13;118,0;73,0;6;3;4,18;8,49;True;;2024-07-20;non-compliant
emp_00244;2;2;11;162,0;79,0;5;3;15,63;14,95;True;2019-01-04;2023-08-03;compliant
emp_00245;4;3;12;1,0;2,0;6;4;5,44;6,38;True;;2023-12-07;compliant
emp_00246;1;6;11;29,0;31,0;5;1;11,51;10,61;True;2023-05-27;2024-12-19;compliant
emp_00247;4;3;14;14,0;25,0;4;4;13,07;8,84;True;;2023-07-08;compliant
emp_00248;0;6;10;-88,0;47,0;4;2;4,83;6,11;True;;;compliant
emp_00249;3;1;12;72,0;35,0;6;3;14,95;9,01;True;2025-05-11;;compliant
emp_00250;1;4;14;167,0;3,0;4;1;10,68;9,7;True;2017-03-25;2023-11-09;compliant
emp_00251;1;3;24;96,0;60,0;3;3;11,09;13,97;True;;2024-05-22;compliant
emp_00252;0;1;19;188,0;16,0;8;1;8,25;10,33;True;2025-04-28;2023-08-18;compliant
emp_00253;2;2;11;-54,0;14,0;3;3;11,16;3,8;True;;;compliant
emp_00254;3;2;23;135,0;23,0;3;1;7,83;13,53;True;2018-01-28;;compliant
emp_00255;1;3;15;51,0;38,0;8;3;9,9;14,43;True;2016-05-28;2024-08-05;compliant
emp_00256;1;5;22;44,0;90,0;3;2;9,22;14,84;True;2017-12-01;;compliant
emp_00257;3;1;12;-98,0;70,0;4;3;6,85;6,76;True;;2024-01-01;compliant
emp_00258;2;3;21;87,0;33,0;10;4;4,54;6,63;True;;;compliant
emp_00259;1;4;20;172,0;1,0;5;5;6,35;1,72;True;2025-06-27;2024-08-21;compliant
emp_00260;1;7;13;5,0;89,0;2;5;17,34;15,15;True;2023-05-19;2025-03-19;compliant
emp_00261;2;4;16;-58,0;37,0;6;1;5,44;4,62;True;2022-01-12;2024-11-15;compliant
emp_00262;1;8;17;33,0;73,0;4;5;14,24;10,9;True;2018-07-14;2023-07-21;compliant
emp_00263;3;1;13;96,0;29,0;2;1;11,81;2,62;True;2024-08-15;2024-06-10;compliant
emp_00264;2;4;13;-76,0;80,0;3;3;6,04;7,04;True;2024-05-01;2023-09-12;compliant
emp_00265;2;4;17;49,0;39,0;5;3;3,98;2,44;True;2024-12-07;2024-06-03;compliant
emp_00266;2;5;15;116,0;34,0;4;5;8,29;2,9;True;2025-01-09;2024-03-19;compliant
emp_00267;2;3;14;-73,0;8,0;3;1;9,78;2,23;True;2025-01-26;2023-10-21;compliant
emp_00268;1;0;12;19,0;19,0;6;4;0,0;10,43;True;2016-07-26;2023-10-14;compliant
emp_00269;3;3;13;-91,0;28,0;2;2;5,69;8,41;True;;2024-06-30;non-compliant
emp_00270;2;2;7;-90,0;13,0;4;3;14,19;1,16;True;2025-06-23;;compliant
emp_00271;0;3;17;27,0;78,0;7;2;4,26;10,2;True;;2025-01-31;compliant
emp_00272;0;3;18;165,0;43,0;5;3;7,5;1,82;True;;;compliant
emp_00273;3;4;13;26,0;91,0;8;5;9,22;13,04;True;;2025-05-09;compliant
emp_00274;0;1;29;-61,0;62,0;1;5;12,44;11,79;True;;2023-07-16;compliant
emp_00275;1;4;15;-87,0;13,0;7;3;4,91;11,77;True;2015-07-08;2024-03-27;compliant
emp_00276;2;4;15;33,0;87,0;7;2;6,76;13,05;True;;;compliant
emp_00277;1;5;15;192,0;30,0;2;5;10,38;2,02;True;;2024-05-25;compliant
emp_00278;0;1;11;-66,0;54,0;5;5;4,44;5,95;True;;2024-11-20;compliant
emp_00279;1;2;25;-76,0;82,0;3;5;16,82;5,52;True;;2023-11-28;compliant
emp_00280;5;2;18;-41,0;53,0;4;5;7,95;10,1;True;2019-10-09;2024-05-03;compliant
emp_00281;1;2;18;36,0;51,0;12;2;15,1;12,44;True;;2025-03-21;compliant
emp_00282;2;4;22;167,0;37,0;6;2;10,16;10,73;True;;2024-07-31;non-compliant
emp_00283;3;1;13;56,0;41,0;8;3;13,54;3,62;True;2024-10-28;;compliant
emp_00284;1;7;20;172,0;27,0;3;3;5,49;7,04;True;2020-11-18;2025-05-06;compliant
emp_00285;3;7;11;-61,0;60,0;5;4;12,67;7,84;True;2022-11-27;2024-12-22;compliant
emp_00286;2;2;15;-18,0;30,0;0;3;5,27;8,76;True;;;compliant
emp_00287;0;1;10;66,0;98,0;11;5;20,36;9,29;True;;2023-08-28;compliant
emp_00288;3;1;18;83,0;24,0;2;1;8,66;2,33;True;;;compliant
emp_00289;4;1;10;28,0;98,0;3;5;15,99;1,37;True;2025-02-15;2025-03-19;compliant
emp_00290;3;4;16;-67,0;47,0;5;4;7,62;11,28;True;2017-07-31;;compliant
